country_name,year,growth
Belize,2012,182.20048068762927
Cuba,2012,120.15664933389698
Ethiopia,2012,35.87516800074982
"Sierra Leone",2012,26.725221560443106
Uganda,2012,25.034948322452827
"Papua New Guinea",2012,23.591885983074512
Turkmenistan,2012,18.74722840879809
"Venezuela, RB",2012,18.64977086973374
Kenya,2012,17.823319840095404
"Macao SAR, China",2012,16.20510198720415
